0,HeartMode,2,,,,,,,
0,CombatZoneResize,275,195,365,285,TLResume,,
.1,HeartTeleport,320,240,,,,,,
0,CenterBlocker,,,,,,,
0,CenterBlockerReveal,,,,,,,
.6,ArrowR,300,180,,,,,
0.3,ArrowL,300,180,,,,,
0.3,ArrowR,300,180,,,,,
0.15,ArrowR,300,180,,,,,
0.3,ArrowL,300,180,,,,,
0.3,ArrowL,300,180,,,,,
0.3,ArrowR,300,180,,,,,
0.3,ArrowL,300,180,,,,,
0.15,ArrowL,300,180,,,,,
0.3,ArrowR,300,180,,,,,
0.3,ArrowL,300,180,,,,,
0.3,ArrowR,300,180,,,,,
0.3,ArrowL,300,180,,,,,
0.3,ArrowR,300,180,,,,,
0.8,EndAttack,,,,,,
