0,HeartMode,2,,,,,,,
0,CombatZoneResize,275,195,365,285,TLResume,,
0,SetOpacity,50,,,,,,
0,SetLegsYMod,50,,,,,,
.1,HeartTeleport,320,240,,,,,,
0,CenterBlocker,,,,,,,
0,CenterBlockerReveal,,,,,,,
.9,ArrowD,1,120.462,,,,,
0.5,ArrowD,1,120.462,,,,,
0.5,ArrowD,1,120.462,,,,,
1,ArrowL,1,180,,,,,
0.3,ArrowU,1,180,,,,,
0.3,ArrowR,1,180,,,,,
0.3,ArrowD,1,180,,,,,
0.3,ArrowR,1,180,,,,,
0.3,ArrowU,1,180,,,,,
0.3,ArrowL,1,180,,,,,
0.3,ArrowU,1,180,,,,,
0.3,ArrowR,1,180,,,,,
1,SetOpacity,0,,,,,,
0,EndAttack,,,,,,,
